Tiempos de ejecución para 80x80, 4 procesos MPI, 2 hilos OMP, 50 ns
Iteración | Serie | OMP Columnas | OMP Filas | OMP Bloques | MPI Columnas | MPI Filas | MPI Bloques | MPI+OMP Columnas | MPI+OMP Filas | MPI+OMP Bloques
1 | 1.220946 | 0.688455 | 0.754996 | 0.690159 | 0.331462 | 0.385191 | 0.367819 | 0.208634 | 0.259724 | 0.251874
2 | 1.264928 | 0.709296 | 0.786380 | 0.716114 | 0.345253 | 0.396159 | 0.379152 | 0.217279 | 0.239472 | 0.230884
3 | 1.235612 | 0.718324 | 0.773297 | 0.701231 | 0.338335 | 0.390317 | 0.380355 | 0.236180 | 0.272933 | 0.248665
4 | 1.264191 | 0.699876 | 0.769060 | 0.702580 | 0.345373 | 0.400746 | 0.377935 | 0.230693 | 0.232762 | 0.229790
5 | 1.237510 | 0.717057 | 0.780695 | 0.717598 | 0.344200 | 0.394460 | 0.378629 | 0.225662 | 0.241211 | 0.240924
6 | 1.313304 | 0.735110 | 0.808653 | 0.742340 | 0.366456 | 0.418333 | 0.401390 | 0.239992 | 0.274566 | 0.236268
7 | 1.274176 | 0.717054 | 0.812477 | 0.748324 | 0.360946 | 0.411167 | 0.392963 | 0.241938 | 0.278375 | 0.227391
8 | 1.324041 | 0.733955 | 0.812521 | 0.743108 | 0.353766 | 0.409958 | 0.393745 | 0.246099 | 0.277230 | 0.263606
9 | 1.291135 | 0.723212 | 0.790227 | 0.725781 | 0.348971 | 0.401628 | 0.384820 | 0.247026 | 0.285318 | 0.235668
10 | 1.274152 | 0.739686 | 0.806219 | 0.735323 | 0.357521 | 0.407030 | 0.390122 | 0.247410 | 0.280427 | 0.275635
